"Reference","Value","Qty","Description","Manufacturer","Mfr Part Number"
"C19,C20","10p","2","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10 pF 50 VDC 5% 0402 C0G (NP0)","Murata Electronics","GRM1555C1H100JA01D"
"C30","10n","1","Multilayer Ceramic Capacitors MLCC - SMD/SMT 0.01 uF 25 VDC 2% 0402 C0G (NP0)","Murata Electronics","GRM1555C1E103GE01D"
"C3,C12,C13,C14,C15,C16,C18,C21,C22,C23,C24,C29,C31,C32,C33,C34","100n","16","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 0.1uF X7R 0402 10 %","TAIYO YUDEN","MSASE105SB7104KFNA01"
"C4","1u","1","Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 1uF X7R 0603 10 %","TAIYO YUDEN","MSAST168SB7105KTNA01"
"C1,C2","10u","2","Multilayer Ceramic Capacitors MLCC - SMD/SMT 35V 10uF X7R 1206 10 %","TAIYO YUDEN","MCJCG31LBB7106KTPA01"
"L1","10u","1","Power Inductors - SMD Ind,5.7x5.2x2.8mm,10uH+/-20%,2.8A,shd","Bourns","SRP5030CC-100M"
"C5,C6,C7,C8","22u","4","Multilayer Ceramic Capacitors MLCC - SMD/SMT 16V 22uF X7R 1206 20 %","TAIYO YUDEN","MSASE31LBB7226MTNA01"
"C25,C26","47u","2","Tantalum Capacitors - Solid SMD 10V 47uF 0805 Tol +/-20%","KYOCERA AVX","F981A476MSAAS1"
"R2,R3,R8,R9,R11,R12,R17,R20,R21,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38","33R","21","Thick Film Resistors - SMD 1/16watt 33ohms 1% 100ppm","Vishay / Dale","CRCW040220K0FKED"
"R16,R19","75R","2","Thick Film Resistors - SMD 1/16watt 75ohms 1%","Vishay / Dale","CRCW040275R0FKED"
"R13","100R","1","Thick Film Resistors - SMD 1/16watt 100ohms 1% Commercial Use","Vishay / Dale","CRCW0402100RFKEDC"
"R15","130R","1","Thick Film Resistors - SMD 1/16watt 130ohms 1% Commercial Use","Vishay / Dale","CRCW0402130RFKEDC"
"R14","220R","1","Thick Film Resistors - SMD 1/16watt 220ohms 1%","Vishay / Dale","CRCW0402220RFKED"
"R39","1k","1","Thick Film Resistors - SMD 1/16watt 1.0Kohms 1%","Vishay / Dale","CRCW04021K00FKED"
"R7","4.7k","1","Thick Film Resistors - SMD 1/16watt 4.7Kohms 1% Commercial Use","Vishay / Dale","CRCW04024K70FKEDC"
"R4,R5,R10,R18","10k","4","Thick Film Resistors - SMD 1/16watt 10Kohms 1% Commercial Use","Vishay / Dale","CRCW040210K0FKEDC"
"R1","20k","1","Thick Film Resistors - SMD 1/16watt 20Kohms 1%","Vishay / Dale","CRCW040220K0FKED"
"R6,R22,R23,R24","47k","4","Thick Film Resistors - SMD 1/16watt 47Kohms 1% Commercial Use","Vishay / Dale","CRCW040247K0FKEDC"
"Y1","8MHz","1","Crystals 8MHz 10 pF 3225 TOL +/-10, STAB +/-30 ppm, -40 +85 C, 400O","ECS","ECS-80-10-33-CGN-TR3"
"Y2","27MHz","1","Crystals 27MHz 8pF AEC-Q200 2 .05X1.65X.45mm","KYOCERA AVX","CX2016SA27000D0GSSCC"
"FB1","120R@100MHz","1","Ferrite Beads 0402 120ohm 25% 5A AEC-Q200","Murata Electronics","BLM15PX121BH1D"
"C27,C28","2u2","2","Multilayer Ceramic Capacitors MLCC - SMD/SMT 2.2 uF 10 VDC 10% 0402 X7S","Murata Electronics","GRM155C71A225KE11D"
"C9,C10,C11,C17","4u7","4","Multilayer Ceramic Capacitors MLCC - SMD/SMT 4.7 uF 16 VDC 10% 0603 X7R","Murata Electronics","GRM188Z71C475KE21J"
"R25,R26","5k1","2","Thick Film Resistors - SMD 1/16watt 5.1Kohms 1%","Vishay / Dale","CRCW04025K10FKED"
